Tanggal;Harga Emas (24 Karat);Harga Emas (22 Karat);Harga Emas (18 Karat);Harga Emas (14 Karat);Harga Emas (10 Karat)
26/06/2026;2348277;2152587;1761208;1369828;978449
25/06/2026;2329681;2135541;1747261;1358981;970701
24/06/2026;2331825;2137507;1748869;1360232;971594
23/06/2026;2371704;2174062;1778778;1383494;98821
22/06/2026;2408916;2208173;1806687;1405201;1003715
19/06/2026;2381704;2183229;1786278;1389327;992377
18/06/2026;2412573;2211525;1809430;1407334;1005239
17/06/2026;2448874;2244801;1836656;1428510;1020364
16/06/2026;2474093;2267918;1855569;1443221;1030872
15/06/2026;2453269;2248830;1839952;1431074;1022196
12/06/2026;2411880;2210890;1808910;1406930;1004950
11/06/2026;2429042;2226622;1821782;1416941;1012101
10/06/2026;2335174;2140576;1751381;1362185;972989
09/06/2026;2397475;2197685;1798106;1398527;998948
08/06/2026;2525890;2315399;1894417;1473436;1052454
05/06/2026;2518424;2308556;1888818;1469081;1049343
04/06/2026;2596785;2380386;1947588;1514791;1081994
03/06/2026;2566684;2352793;1925013;1497232;1069452
02/06/2026;2575045;2360458;1931283;1502109;1072935
01/06/2026;2574031;2359528;1930523;1501518;1072513
29/05/2026;2601500;2384708;1951125;1517542;1083958
28/05/2026;2582127;2366950;1936595;1506241;1075886
27/05/2026;2565587;2351788;1924191;1496593;1068995
26/05/2026;2586389;2370857;1939792;1508727;1077662
25/05/2026;2606642;2389422;1954981;1520541;1086101
22/05/2026;2566058;2352220;1924544;1496867;1069191
21/05/2026;2578014;2363180;1933511;1503842;1074173
20/05/2026;2577835;2363016;1933377;1503737;1074098
19/05/2026;2558530;2345319;1918898;1492476;1066054
18/05/2026;2599100;2382509;1949325;1516142;1082958
15/05/2026;2569947;2355784;1927460;1499136;1070811
14/05/2026;2629275;2410168;1971956;1533744;1095531
12/05/2026;2664209;2442192;1998157;1554122;1110087
11/05/2026;2669931;2447437;2002448;1557460;1112471
08/05/2026;2634327;2414800;1975745;1536691;1097636
07/05/2026;2618633;2400413;1963975;1527536;1091097
06/05/2026;2614099;2396258;1960575;1524891;1089208
05/05/2026;2543978;2331980;1907983;1483987;1059991
04/05/2026;2526545;2316000;1894909;1473818;1052727
01/05/2026;2571751;2357439;1928813;1500188;1071563
30/04/2026;2578213;2363362;1933660;1503958;1074255
29/04/2026;2538130;2326619;1903597;1480576;1057554
28/04/2026;2549365;2336918;1912024;1487130;1062236
27/04/2026;2596529;2380152;1947397;1514642;1081887
24/04/2026;2612534;2394823;1959400;1523978;1088556
23/04/2026;2615912;2397919;1961934;1525949;1089963
22/04/2026;2620811;2402410;1965608;1528806;1092004
21/04/2026;2599609;2382975;1949707;1516439;1083171
20/04/2026;2660008;2438341;1995006;1551672;1108337
17/04/2026;2662241;2440387;1996680;1552974;1109267
16/04/2026;2640470;2420431;1980353;1540274;1100196
15/04/2026;2647261;2426656;1985446;1544236;1103025
14/04/2026;2666844;2444607;2000133;1555659;1111185
13/04/2026;2614665;2396776;1960999;1525221;1089444
10/04/2026;2609332;2391888;1956999;1522110;1087222
